company,fiscal_year,revenue_zar_m,ebitda_zar_m,net_profit_loss_zar_m,subscribers_m,revenue_growth_pct,ebitda_margin_pct,net_profit_margin_pct,revenue_per_subscriber,revenue_risk,profit_risk,margin_risk,revenue_per_subscriber_growth_pct,subscriber_value_risk,total_risk_score,risk_category,risk_rank
Cell C,2015,,,,,,,,,0,0,0,,0,0,Low Risk,1
Cell C,2016,14646.0,3106.0,541.0,15.3,,21.21,3.69,957.25,0,0,0,,0,0,Low Risk,1
Cell C,2017,15715.0,7793.0,4114.0,16.3,7.3,49.59,26.18,964.11,0,0,0,0.7166361974405788,0,0,Low Risk,1
Cell C,2018,,,,,,,,,0,0,0,,0,0,Low Risk,1
Cell C,2019,15100.0,3200.0,,,,21.19,,,0,0,0,,0,0,Low Risk,1
Cell C,2020,13830.0,4100.0,,12.5,-8.41,29.65,,1106.4,1,0,0,,0,1,Low Risk,2
Cell C,2021,,,,,,,,,0,0,0,,0,0,Low Risk,1
Cell C,2022,,-829.0,3940.0,,,,,,0,0,0,,0,0,Low Risk,1
Cell C,2023,,-159.0,-553.0,,,,,,0,0,0,,0,0,Low Risk,1
Cell C,2024,10745.0,2080.0,9.0,8.5,,19.36,0.08,1264.12,0,0,1,,0,1,Low Risk,2
Cell C,2025,11138.0,2089.0,279.0,7.7,3.66,18.76,2.5,1446.49,0,0,1,14.426636711704589,0,1,Low Risk,2
MTN,2015,146353.0,59918.0,20204.0,232.5,,40.94,13.8,629.48,0,0,0,,0,0,Low Risk,1
MTN,2016,146894.0,51981.0,-2614.0,240.4,0.37,35.39,-1.78,611.04,0,2,0,-2.9294020461333226,1,3,Medium Risk,4
MTN,2017,132815.0,46955.0,4414.0,217.2,-9.58,35.35,3.32,611.49,1,0,0,0.07364493322861154,0,1,Low Risk,2
MTN,2018,134560.0,48246.0,8719.0,233.0,1.31,35.85,6.48,577.51,0,0,0,-5.556918346988504,1,1,Low Risk,2
